Date,Category,Product,Quantity,Unit Price,Discount %,Revenue,Shipping Cost,Profit,Region,Salesperson,Customer ID,Return Status
2024-01-19,Furniture,Sofa,13,$346.90,0%,"$4,509.70",$28.99,"$1,456.87",South,Eve,CUST0137,No
2024-01-19,Electronics,Webcam,9,$148.04,20%,"$1,065.89",$34.65,$466.17,North,Alice,CUST0044,No
2024-01-19,Groceries,Olive Oil,19,$14.02,5%,$253.06,$14.11,$136.11,Central,Alice,CUST0119,No
2024-01-19,Clothing,Jeans,16,$51.62,15%,$702.03,$25.41,$228.46,North,Grace,CUST0127,No
2024-01-20,Groceries,Coffee Beans,1,$10.70,0%,$10.70,$31.60,-$26.43,East,Alice,CUST0169,No
2024-01-20,Groceries,Olive Oil,14,$15.89,15%,$189.09,$9.11,$96.56,North,Hank,CUST0186,No
2024-01-20,Groceries,Chocolate,4,$13.76,15%,$46.78,$47.00,-$21.45,South,Diana,CUST0181,No
2024-01-20,Clothing,T-Shirt,3,$11.39,10%,$30.75,$37.19,-$25.91,South,Alice,CUST0010,No
2024-01-21,Sports,Dumbbells,16,$128.74,20%,"$1,647.87",$4.97,$952.35,West,Diana,CUST0012,Yes
2024-01-21,Electronics,Monitor,12,$459.65,5%,"$5,240.01",$30.49,"$2,827.67",Central,Frank,CUST0087,Yes
2024-01-23,Groceries,Olive Oil,12,$9.85,0%,$118.20,$3.89,$37.25,South,Hank,CUST0141,No
2024-01-23,Sports,Tennis Racket,20,$149.22,20%,"$2,387.52",$45.14,"$1,225.36",East,Frank,CUST0131,No
2024-01-23,Furniture,Standing Desk,13,$256.91,5%,"$3,172.84",$10.05,"$1,572.58",South,Eve,CUST0141,No
2024-01-23,Sports,Dumbbells,13,$47.47,5%,$586.25,$33.30,$201.34,West,Bob,CUST0141,No
2024-01-23,Furniture,Bookshelf,9,$164.55,10%,"$1,332.86",$27.96,$655.23,North,Frank,CUST0093,No
2024-01-23,Electronics,Monitor,8,$489.74,10%,"$3,526.13",$17.90,"$1,874.14",Central,Alice,CUST0108,No
2024-01-23,Groceries,Olive Oil,19,$7.47,0%,$141.93,$36.28,$13.52,South,Frank,CUST0002,No
2024-01-24,Groceries,Pasta,17,$7.98,5%,$128.88,$22.46,$47.76,South,Eve,CUST0191,No
2024-01-24,Clothing,Jeans,13,$65.41,20%,$680.26,$44.56,$317.78,Central,Diana,CUST0023,Yes
2024-01-24,Furniture,Office Chair,3,$266.79,10%,$720.33,$46.12,$212.40,North,Grace,CUST0165,No
2024-01-25,Furniture,Office Chair,6,$157.89,0%,$947.34,$30.55,$437.82,West,Grace,CUST0070,No
2024-01-25,Electronics,Laptop,13,"$1,012.94",20%,"$10,534.58",$3.82,"$6,045.08",East,Eve,CUST0054,No
2024-01-25,Electronics,Tablet,17,$403.64,0%,"$6,861.88",$26.60,"$2,495.02",West,Hank,CUST0151,No
2024-01-26,Groceries,Cheese,12,$13.08,20%,$125.57,$26.38,$38.68,South,Eve,CUST0166,No
2024-01-26,Groceries,Olive Oil,6,$14.64,20%,$70.27,$33.46,-$8.50,West,Frank,CUST0190,No
2024-01-27,Sports,Yoga Mat,9,$18.83,10%,$152.52,$23.69,$64.07,South,Eve,CUST0184,Yes
2024-01-27,Furniture,Office Chair,4,$398.80,15%,"$1,355.92",$36.09,$623.92,West,Frank,CUST0014,No
2024-01-27,Clothing,T-Shirt,13,$10.12,15%,$111.83,$42.26,-$6.20,Central,Eve,CUST0180,No
2024-01-27,Furniture,Sofa,8,"$1,291.36",10%,"$9,297.79",$10.29,"$2,799.47",South,Diana,CUST0058,No
2024-01-27,Sports,Tennis Racket,5,$66.25,0%,$331.25,$49.65,$106.01,South,Bob,CUST0070,Yes
2024-01-27,Sports,Yoga Mat,2,$22.21,0%,$44.42,$46.72,-$32.22,South,Frank,CUST0131,No
2024-01-28,Furniture,Sofa,19,"$1,402.96",5%,"$25,323.43",$9.22,"$9,017.22",Central,Diana,CUST0032,No
2024-01-28,Sports,Dumbbells,13,$66.97,10%,$783.55,$7.15,$258.18,West,Bob,CUST0083,No
2024-01-29,Electronics,Headphones,8,$165.54,5%,"$1,258.10",$49.74,$563.62,North,Frank,CUST0038,No
2024-01-29,Clothing,Sneakers,14,$49.55,0%,$693.70,$43.92,$209.84,East,Grace,CUST0116,No
2024-01-30,Electronics,Headphones,4,$294.15,5%,"$1,117.77",$10.82,$559.42,North,Eve,CUST0092,No
2024-01-30,Electronics,Webcam,1,$115.19,20%,$92.15,$48.02,$0.08,Central,Bob,CUST0018,No
2024-01-30,Clothing,Sneakers,2,$129.04,10%,$232.27,$38.68,$64.16,Central,Alice,CUST0019,No
2024-01-30,Clothing,Jacket,19,$248.38,0%,"$4,719.22",$34.70,"$1,681.31",North,Bob,CUST0024,No
2024-01-30,Electronics,Tablet,12,$357.37,5%,"$4,074.02",$38.54,"$1,990.42",East,Frank,CUST0057,No
2024-01-30,Clothing,Sneakers,4,$118.93,20%,$380.58,$20.57,$137.22,North,Carlos,CUST0027,No
2024-01-30,Electronics,Laptop,5,"$1,000.25",10%,"$4,501.12",$17.64,"$2,653.90",South,Hank,CUST0087,Yes
2024-01-31,Clothing,Jeans,9,$97.48,15%,$745.72,$44.66,$230.19,West,Eve,CUST0135,No
2024-01-31,Sports,Tennis Racket,9,$91.46,0%,$823.14,$4.22,$342.21,East,Alice,CUST0121,No
2024-02-01,Groceries,Olive Oil,12,$6.05,0%,$72.60,$22.24,$9.48,West,Hank,CUST0155,No
2024-02-02,Clothing,Jacket,6,$121.41,0%,$728.46,$41.91,$199.69,East,Grace,CUST0030,No
2024-02-02,Clothing,Jacket,14,$98.77,10%,"$1,244.50",$35.45,$387.73,East,Frank,CUST0016,No
2024-02-02,Furniture,Standing Desk,2,$377.00,15%,$640.90,$24.12,$241.47,South,Frank,CUST0161,No
2024-02-02,Clothing,T-Shirt,2,$27.85,0%,$55.70,$4.46,$18.45,North,Hank,CUST0041,No
2024-02-02,Clothing,Jeans,6,$119.71,20%,$574.61,$7.80,$275.65,Central,Hank,CUST0017,No
2024-02-03,Electronics,Webcam,13,$144.36,20%,"$1,501.34",$49.73,$416.35,East,Diana,CUST0164,No
2024-02-03,Sports,Bicycle Helmet,2,$97.36,0%,$194.72,$18.46,$61.26,South,Frank,CUST0185,No
2024-02-04,Furniture,Bookshelf,11,$187.20,0%,"$2,059.20",$5.15,$990.73,West,Alice,CUST0165,No
2024-02-04,Groceries,Cheese,3,$8.59,5%,$24.48,$44.68,-$33.71,West,Eve,CUST0187,Yes
2024-02-04,Electronics,Tablet,6,$671.03,15%,"$3,422.25",$37.92,"$2,002.87",South,Alice,CUST0048,No
2024-02-04,Furniture,Sofa,10,$932.65,20%,"$7,461.20",$15.94,"$3,039.68",West,Diana,CUST0107,No
2024-02-05,Clothing,Dress,9,$40.81,0%,$367.29,$11.67,$146.73,East,Carlos,CUST0096,No
2024-02-05,Furniture,Bookshelf,8,$95.10,5%,$722.76,$23.06,$300.60,North,Alice,CUST0142,No
2024-02-05,Sports,Dumbbells,16,$41.35,20%,$529.28,$42.51,$155.58,Central,Diana,CUST0070,No
2024-02-05,Electronics,Webcam,16,$53.01,0%,$848.16,$22.48,$322.87,South,Grace,CUST0096,No
2024-02-05,Furniture,Dining Table,6,$489.45,0%,"$2,936.70",$46.91,"$1,581.68",East,Diana,CUST0101,No
2024-02-06,Sports,Yoga Mat,16,$54.94,0%,$879.04,$15.71,$500.71,South,Frank,CUST0111,No
2024-02-06,Clothing,Sneakers,15,$92.91,15%,"$1,184.60",$15.12,$597.80,South,Eve,CUST0007,No
2024-02-06,Furniture,Standing Desk,19,$270.21,0%,"$5,133.99",$34.78,"$1,707.40",North,Diana,CUST0050,No
2024-02-06,Clothing,Sneakers,14,$43.76,10%,$551.38,$6.19,$291.53,Central,Hank,CUST0002,No
2024-02-06,Groceries,Coffee Beans,19,$25.72,10%,$439.81,$36.05,$126.82,North,Grace,CUST0154,No
2024-02-07,Groceries,Coffee Beans,19,$22.57,0%,$428.83,$33.04,$177.74,North,Eve,CUST0129,No
2024-02-07,Furniture,Standing Desk,17,$712.19,10%,"$10,896.51",$27.95,"$5,870.18",East,Alice,CUST0195,Yes
2024-02-07,Sports,Running Shoes,8,$171.26,0%,"$1,370.08",$49.07,$375.40,Central,Diana,CUST0002,No
2024-02-07,Furniture,Bookshelf,12,$239.60,10%,"$2,587.68",$28.38,"$1,437.32",North,Bob,CUST0082,No
2024-02-08,Clothing,T-Shirt,4,$20.34,20%,$65.09,$28.82,$6.30,Central,Frank,CUST0071,No
2024-02-08,Electronics,Laptop,19,"$1,034.20",0%,"$19,649.80",$6.88,"$6,214.14",North,Alice,CUST0018,No
2024-02-08,Sports,Tennis Racket,18,$126.70,20%,"$1,824.48",$3.76,"$1,004.26",North,Diana,CUST0170,No
2024-02-08,Electronics,Webcam,1,$45.15,10%,$40.63,$9.75,$8.71,East,Grace,CUST0029,No
2024-02-10,Clothing,Jeans,13,$105.75,0%,"$1,374.75",$45.10,$401.13,North,Bob,CUST0121,No
2024-02-10,Furniture,Dining Table,5,$363.03,15%,"$1,542.88",$7.57,$627.73,West,Alice,CUST0149,No
2024-02-10,Furniture,Bookshelf,7,$216.30,0%,"$1,514.10",$36.06,$738.24,South,Hank,CUST0085,No
2024-02-10,Clothing,Jacket,3,$221.20,0%,$663.60,$37.65,$354.15,West,Alice,CUST0092,No
2024-02-10,Groceries,Coffee Beans,11,$25.84,15%,$241.60,$6.96,$91.17,West,Hank,CUST0135,No
2024-02-10,Sports,Yoga Mat,17,$23.39,5%,$377.75,$29.35,$116.56,Central,Eve,CUST0086,No
2024-02-11,Clothing,Dress,1,$130.19,5%,$123.68,$11.99,$50.63,Central,Hank,CUST0171,No
2024-02-11,Clothing,Sneakers,10,$87.26,0%,$872.60,$10.00,$303.13,South,Hank,CUST0162,No
2024-02-12,Clothing,Jeans,1,$30.83,5%,$29.29,$23.48,-$6.55,North,Frank,CUST0156,No
2024-02-12,Furniture,Sofa,15,$968.95,5%,"$13,807.54",$18.14,"$6,738.42",South,Alice,CUST0147,No
2024-02-12,Furniture,Office Chair,17,$475.26,15%,"$6,867.51",$28.39,"$3,200.46",East,Eve,CUST0100,Yes
2024-02-12,Groceries,Chocolate,4,$5.53,15%,$18.80,$29.36,-$20.25,West,Diana,CUST0006,No
2024-02-13,Clothing,Jeans,5,$63.79,20%,$255.16,$38.95,$61.35,South,Grace,CUST0066,No
2024-02-13,Clothing,Jeans,9,$32.62,15%,$249.54,$28.88,$72.61,West,Alice,CUST0015,Yes
2024-02-13,Groceries,Pasta,11,$3.08,0%,$33.88,$8.70,$4.27,Central,Frank,CUST0137,No
2024-02-13,Sports,Bicycle Helmet,3,$79.71,15%,$203.26,$29.46,$53.54,East,Bob,CUST0081,No
2024-02-14,Sports,Tennis Racket,17,$121.17,10%,"$1,853.90",$3.96,$622.66,East,Eve,CUST0192,No
2024-02-14,Groceries,Cheese,15,$9.05,20%,$108.60,$15.85,$34.84,East,Carlos,CUST0114,No
2024-02-14,Furniture,Sofa,13,"$1,422.05",0%,"$18,486.65",$31.12,"$9,507.11",North,Grace,CUST0191,Yes
2024-02-14,Clothing,Jacket,11,$131.96,0%,"$1,451.56",$7.52,$576.49,South,Carlos,CUST0009,No
2024-02-14,Clothing,T-Shirt,12,$46.45,10%,$501.66,$40.73,$193.21,South,Frank,CUST0132,No
2024-02-14,Groceries,Pasta,17,$2.97,5%,$47.97,$26.29,-$4.95,South,Alice,CUST0072,No
2024-02-14,Sports,Tennis Racket,15,$120.39,0%,"$1,805.85",$14.54,$925.93,West,Frank,CUST0159,No
2024-02-15,Sports,Tennis Racket,15,$99.89,0%,"$1,498.35",$5.58,$789.98,North,Grace,CUST0013,No
2024-02-15,Clothing,Dress,2,$86.07,0%,$172.14,$32.81,$27.64,South,Eve,CUST0042,No
2024-02-16,Electronics,Smartphone,11,$969.20,10%,"$9,595.08",$21.84,"$4,919.89",West,Eve,CUST0068,No
2024-02-16,Groceries,Olive Oil,7,$7.69,0%,$53.83,$3.80,$17.35,Central,Eve,CUST0137,No
2024-02-16,Furniture,Dining Table,6,$184.49,15%,$940.90,$18.20,$504.06,Central,Grace,CUST0072,No
2024-02-16,Sports,Tennis Racket,19,$94.02,0%,"$1,786.38",$41.79,"$1,014.83",Central,Eve,CUST0167,Yes
2024-02-16,Clothing,Dress,12,$144.40,10%,"$1,559.52",$32.02,$714.78,South,Diana,CUST0025,No
2024-02-16,Electronics,Laptop,12,"$1,449.30",0%,"$17,391.60",$33.51,"$6,966.86",South,Hank,CUST0175,No
2024-02-16,Sports,Bicycle Helmet,15,$98.69,0%,"$1,480.35",$29.09,$488.78,West,Eve,CUST0035,No
2024-02-17,Groceries,Pasta,7,$8.51,0%,$59.57,$5.33,$21.58,West,Bob,CUST0032,Yes
2024-02-17,Electronics,Smartphone,16,$412.29,15%,"$5,607.14",$30.87,"$1,731.94",West,Hank,CUST0064,No
2024-02-17,Clothing,Dress,14,$107.84,15%,"$1,283.30",$17.28,$405.39,East,Alice,CUST0108,No
2024-02-18,Furniture,Bookshelf,7,$214.05,10%,"$1,348.52",$3.34,$695.69,East,Carlos,CUST0127,No
2024-02-18,Clothing,Jacket,15,$52.05,10%,$702.68,$7.13,$264.34,West,Frank,CUST0158,No
2024-02-18,Groceries,Coffee Beans,14,$19.05,0%,$266.70,$29.91,$108.12,West,Hank,CUST0026,No
2024-02-18,Clothing,Jeans,5,$33.73,10%,$151.78,$7.40,$68.39,West,Diana,CUST0001,No
2024-02-18,Clothing,Jeans,2,$49.50,15%,$84.15,$28.02,$11.31,Central,Bob,CUST0100,No
2024-02-19,Sports,Running Shoes,10,$155.07,10%,"$1,395.63",$15.74,$780.16,West,Carlos,CUST0089,No
2024-02-19,Sports,Tennis Racket,2,$47.77,15%,$81.21,$8.08,$20.28,West,Hank,CUST0098,No
2024-02-19,Electronics,Smartphone,14,$383.43,5%,"$5,099.62",$21.63,"$2,294.07",North,Frank,CUST0005,No
2024-02-20,Groceries,Olive Oil,17,$16.97,0%,$288.49,$49.56,$91.55,South,Grace,CUST0187,No
2024-02-20,Sports,Running Shoes,13,$65.31,0%,$849.03,$9.98,$375.92,Central,Eve,CUST0064,No
2024-02-21,Groceries,Pasta,18,$8.28,10%,$134.14,$23.44,$37.02,West,Eve,CUST0042,No
2024-02-21,Groceries,Olive Oil,4,$15.56,5%,$59.13,$29.13,$5.56,East,Diana,CUST0123,No
2024-02-22,Electronics,Smartphone,20,$662.91,20%,"$10,606.56",$26.43,"$4,930.95",Central,Carlos,CUST0074,No
2024-02-22,Groceries,Olive Oil,12,$18.24,20%,$175.10,$21.95,$80.73,South,Frank,CUST0142,No
2024-02-22,Sports,Bicycle Helmet,13,$46.93,0%,$610.09,$31.96,$262.11,Central,Grace,CUST0033,No
2024-02-22,Furniture,Sofa,19,"$1,117.14",5%,"$20,164.38",$14.88,"$11,050.46",West,Alice,CUST0124,No
2024-02-22,Sports,Running Shoes,5,$163.14,10%,$734.13,$37.87,$217.04,North,Hank,CUST0191,No
2024-02-23,Groceries,Coffee Beans,14,$14.63,0%,$204.82,$7.79,$111.67,West,Grace,CUST0025,No
2024-02-23,Electronics,Laptop,12,$888.29,10%,"$9,593.53",$3.64,"$3,782.63",East,Grace,CUST0153,No
2024-02-23,Electronics,Tablet,17,$641.51,10%,"$9,815.10",$43.59,"$3,611.68",East,Carlos,CUST0168,No
2024-02-24,Electronics,Monitor,19,$201.40,20%,"$3,061.28",$49.48,"$1,419.49",West,Frank,CUST0174,No
2024-02-24,Sports,Tennis Racket,18,$70.26,0%,"$1,264.68",$40.11,$594.37,East,Carlos,CUST0131,No
2024-02-24,Electronics,Tablet,5,$415.74,5%,"$1,974.76",$26.60,$857.35,East,Bob,CUST0013,No
2024-02-24,Electronics,Headphones,8,$33.27,5%,$252.85,$40.98,$108.81,West,Hank,CUST0002,Yes
2024-02-24,Furniture,Standing Desk,14,$505.54,0%,"$7,077.56",$35.21,"$4,034.29",West,Diana,CUST0159,No
2024-02-24,Furniture,Standing Desk,15,$270.85,5%,"$3,859.61",$24.93,"$1,526.42",North,Bob,CUST0029,No
2024-02-24,Clothing,Dress,2,$44.22,0%,$88.44,$22.39,$14.77,North,Eve,CUST0162,No
2024-02-24,Groceries,Pasta,16,$3.59,0%,$57.44,$27.14,$3.58,North,Alice,CUST0170,No
2024-02-25,Furniture,Bookshelf,14,$166.73,5%,"$2,217.51",$12.09,"$1,202.75",Central,Frank,CUST0064,No
2024-02-25,Sports,Yoga Mat,7,$29.79,5%,$198.10,$39.41,$72.65,South,Grace,CUST0162,Yes
2024-02-26,Electronics,Smartphone,16,$443.01,0%,"$7,088.16",$42.14,"$3,267.00",East,Grace,CUST0124,Yes
2024-02-26,Sports,Dumbbells,2,$47.48,20%,$75.97,$33.25,$4.97,Central,Grace,CUST0024,No
2024-02-28,Groceries,Olive Oil,7,$10.72,20%,$60.03,$3.60,$16.08,Central,Alice,CUST0135,No
2024-02-28,Electronics,Smartphone,16,$413.71,15%,"$5,626.46",$6.12,"$2,839.82",West,Carlos,CUST0107,No
2024-02-29,Furniture,Sofa,12,$917.03,10%,"$9,903.92",$6.05,"$4,468.21",East,Frank,CUST0131,No
2024-02-29,Sports,Bicycle Helmet,15,$86.61,0%,"$1,299.15",$27.12,$574.34,East,Alice,CUST0102,No
2024-02-29,Electronics,Monitor,12,$592.14,0%,"$7,105.68",$12.10,"$3,320.77",North,Alice,CUST0059,No
2024-02-29,Sports,Running Shoes,14,$179.48,5%,"$2,387.08",$9.97,"$1,383.84",East,Alice,CUST0036,No
2024-02-29,Electronics,Tablet,19,$456.26,0%,"$8,668.94",$42.73,"$4,735.12",West,Carlos,CUST0092,No
2024-03-01,Sports,Bicycle Helmet,13,$40.79,20%,$424.22,$8.61,$139.09,South,Grace,CUST0022,No
2024-03-01,Sports,Bicycle Helmet,5,$41.62,20%,$166.48,$12.71,$76.84,Central,Eve,CUST0153,No
2024-03-02,Clothing,Jacket,19,$162.43,0%,"$3,086.17",$21.72,"$1,190.64",East,Hank,CUST0162,No
2024-03-02,Clothing,T-Shirt,17,$30.78,15%,$444.77,$31.62,$230.76,West,Carlos,CUST0148,No
2024-03-02,Electronics,Headphones,20,$289.50,0%,"$5,790.00",$33.69,"$3,149.57",West,Eve,CUST0154,Yes
2024-03-02,Groceries,Coffee Beans,19,$28.99,10%,$495.73,$20.82,$161.88,West,Alice,CUST0004,No
2024-03-02,Groceries,Coffee Beans,17,$18.45,15%,$266.60,$35.47,$67.83,North,Diana,CUST0135,No
2024-03-03,Clothing,T-Shirt,16,$33.43,5%,$508.14,$34.62,$254.90,North,Alice,CUST0025,No
2024-03-03,Sports,Tennis Racket,10,$79.33,5%,$753.63,$22.36,$305.31,West,Carlos,CUST0108,No
2024-03-03,Sports,Tennis Racket,18,$65.33,0%,"$1,175.94",$17.82,$639.26,North,Bob,CUST0091,No
2024-03-03,Furniture,Bookshelf,12,$183.47,0%,"$2,201.64",$14.13,$953.50,North,Diana,CUST0005,No
2024-03-04,Groceries,Coffee Beans,3,$15.73,5%,$44.83,$6.69,$11.03,Central,Grace,CUST0054,No
2024-03-05,Electronics,Headphones,1,$37.54,0%,$37.54,$41.56,-$26.69,North,Carlos,CUST0186,No
2024-03-05,Electronics,Tablet,12,$641.33,0%,"$7,695.96",$12.20,"$4,480.76",North,Diana,CUST0016,No
2024-03-05,Furniture,Bookshelf,9,$120.54,10%,$976.37,$34.97,$469.67,West,Hank,CUST0129,No
2024-03-05,Clothing,T-Shirt,4,$25.58,10%,$92.09,$3.28,$32.07,Central,Alice,CUST0180,No
2024-03-06,Clothing,T-Shirt,1,$19.95,0%,$19.95,$20.57,-$14.05,West,Bob,CUST0112,Yes
2024-03-06,Clothing,T-Shirt,19,$39.83,0%,$756.77,$5.13,$370.71,North,Bob,CUST0121,No
2024-03-06,Sports,Yoga Mat,2,$54.75,15%,$93.08,$36.71,$15.46,South,Carlos,CUST0027,Yes
2024-03-06,Electronics,Monitor,9,$269.59,0%,"$2,426.31",$37.93,$884.06,South,Eve,CUST0016,Yes
2024-03-06,Groceries,Cheese,16,$10.42,20%,$133.38,$30.13,$35.19,Central,Diana,CUST0032,No
2024-03-07,Electronics,Monitor,17,$520.02,0%,"$8,840.34",$49.68,"$3,714.07",East,Carlos,CUST0005,No
2024-03-07,Clothing,Dress,15,$129.58,10%,"$1,749.33",$23.58,$715.83,South,Alice,CUST0144,Yes
2024-03-07,Groceries,Cheese,6,$19.59,10%,$105.79,$41.03,$3.76,South,Diana,CUST0102,Yes
2024-03-07,Sports,Bicycle Helmet,3,$44.65,20%,$107.16,$25.12,$17.85,West,Frank,CUST0128,No
